Name,Birth,Succession,Reign,Time,Deaths
" Macrinus IMPERATOR CAESAR MARCVS OPELLIVS SEVERVS  MACRINVS  AVGVSTVS with Diadumenian 
 IMPERATOR CAESAR MARCVS OPELLIVS ANTONINVS  DIADVMENIANVS  AVGVSTVS 
 
"," c. 165,  Caesarea ,  Mauretania 
"," Praetorian Prefect  to Caracalla, probably conspired to have Caracalla murdered and proclaimed himself emperor after Caracalla's death; made his son Diadumenian (born on 14 September 208) co-emperor in May 218
"," 11 April 217 – 8 June 218
"," 1 year, 1 month and 28 days
"," 8 June 218 (aged 53) Both executed in favour of Elagabalus
"
" Elagabalus IMPERATOR CAESAR MARCVS AVRELIVS ANTONINVS AVGVSTVS 
"," c. 204,  Emesa ,  Syria 
"," Grandnephew of Septimius Severus, first cousin once removed and alleged illegitimate son of Caracalla; proclaimed emperor by  Syrian legions 
"," 8 June 218 – 11 March 222
"," 3 years, 9 months and 3 days
"," 11 March 222 (aged 18) Murdered by Praetorian Guard
"
" Severus Alexander IMPERATOR CAESAR MARCVS AVRELIVS  SEVERVS ALEXANDER  AVGVSTVS 
"," c. 208,  Arca Caesarea ,  Syria 
"," Grandnephew of Septimius Severus, cousin and adoptive heir of Elagabalus
"," 13 March 222 – 18 March 235
"," 13 years and 5 days
"," 18 March 235 (aged 27) Murdered by the army
"
" Maximinus Thrax IMPERATOR CAESAR GAIVS IVLIVS VERVS  MAXIMINVS  AVGVSTVS 
"," c. 173,  Thrace  or  Moesia 
"," Proclaimed emperor by Germanic legions after the murder of Severus Alexander
"," 20 March 235 – June 238
"," 3 years, 3 months
"," June 238 (aged 65) Assassinated by his men during the  siege of Aquileia 
"
" Gordian I IMPERATOR CAESAR MARCVS ANTONIVS  CORDIANVS  SEMPRONIANVS ROMANVS AFRICANVS AVGVSTVS 
"," c. 159,  Phrygia ?
"," Proclaimed emperor, whilst Pro-consul in  Africa , during a revolt against Maximinus. Ruled jointly with his son Gordian II, and in opposition to Maximinus. Technically a usurper, but retrospectively legitimised by the accession of Gordian III
"," March 22, 238 – April 12, 238
"," 21 days
"," April 238 (aged 79) Committed suicide upon hearing of the death of Gordian II.
"
" Gordian II IMPERATOR CAESAR MARCVS ANTONIVS  CORDIANVS  SEMPRONIANVS ROMANVS AFRICANVS AVGVSTVS 
"," c. 192, ?
"," Proclaimed emperor, alongside father Gordian I, in opposition to Maximinus by act of the Senate.
"," March 22, 238 – April 12, 238
"," 21 days
"," April 238 (aged 46) Killed during the  Battle of Carthage , fighting a pro-Maximinus army
"
" Pupienus IMPERATOR CAESAR MARCVS CLODIVS  PVPIENVS  MAXIMVS AVGVSTVS 
"," c. 165 or 170
"," Proclaimed joint emperor with Balbinus by the Senate in opposition to Maximinus; later co-emperor with Balbinus.
"," April 22, 238 – July 29, 238
"," 3 months and 7 days
"," July 29, 238 (aged 68 or 73) Assassinated by the Praetorian Guard
"
" Balbinus IMPERATOR CAESAR DECIMVS CAELIVS CALVINVS  BALBINVS  PIVS AVGVSTVS 
"," 178
"," Proclaimed joint emperor with Pupienus by the  Senate  after death of Gordian I and II, in opposition to Maximinus; later co-emperor with Pupienus and Gordian III
"," April 22, 238 – July 29, 238
"," 3 months and 7 days
"," July 29, 238 (aged 60) Assassinated by Praetorian Guard
"
" Gordian III IMPERATOR CAESAR MARCVS ANTONIVS  CORDIANVS  PIVS AVGVSTVS 
"," January 20, 225,  Rome 
"," Proclaimed emperor by supporters of Gordian I and II, then by the Senate; joint emperor with Pupienus and Balbinus until July 238; grandson and nephew of Gordian I and II, respectively
"," April 22, 238 – February 11, 244
"," 5 years, 9 months and 20 days
"," February 11, 244 (aged 19) Unknown; possibly murdered on orders of Philip I
"
" Philip the Arab IMPERATOR CAESAR MARCVS IVLIVS  PHILIPPVS  AVGVSTVS with 
 Philip II 
 IMPERATOR CAESAR MARCVS IVLIVS SEVERVS  PHILLIPVS  AVGVSTVS 
 
"," c. 204,  Shahba ,  Syria 
"," Praetorian Prefect  to Gordian III, took power after his death; made his son Philip II (born 237) co-emperor in summer 247
"," February 244 – September/October 249
"," 5 years
"," September/October 249 (aged 45) Killed in the  Battle of Verona  by Decius, Philip II murdered by the Praetorian Guard
"
" Decius IMPERATOR CAESAR CAIVS MESSIVS QVINTVS TRAIANVS  DECIVS  AVGVSTVS with 
 Herennius Etruscus 
 IMPERATOR CAESAR QVINTVS  HERENNIVS ETRVSCVS  MESSIVS DECIVS AVGVSTVS 
 
"," c. 201,  Budalia ,  Pannonia Inferior 
"," Governor under Philip the Arab; proclaimed emperor by  Danubian legions  then defeating and killing Philip in the Battle of Verona; made his son Herennius Etruscus (born 227) co-emperor in early 251
"," September/ October 249 – June 251
"," 2 years
"," June 251 (aged 50) Both killed in the  Battle of Abrittus  fighting against the  Goths 
"
" Hostilian IMPERATOR CAESAR CAIVS VALENS  HOSTILIANVS  MESSIVS QVINTVS AVGVSTVS 
"," Sirmium 
"," Son of Decius, accepted as heir by the  Senate 
"," June 251 – late 251
"," 4–5 months
"," September/October 251 (aged 21) Natural causes ( plague )
"
" Trebonianus Gallus IMPERATOR CAESAR GAIVS VIBIVS AFINIVS  TREBONIANVS GALLVS  AVGVSTVS with 
 Volusianus 
 IMPERATOR CAESAR GAIVS VIBIVS  VOLVSIANVS  AVGVSTVS 
 
"," 206,  Italia 
"," Governor of  Moesia Superior , proclaimed emperor by Danubian legions after Decius's death (and in opposition to Hostilian); made his son Volusianus co-emperor in late 251.
"," June 251 – August 253
"," 2 years
"," August 253 (aged 47) Assassinated by their own troops, in favour of  Aemilian 
"
" Aemilian IMPERATOR CAESAR MARCVS AEMILIVS  AEMILIANVS  AVGVSTVS 
"," c. 207 or 213  Africa 
"," Governor of  Moesia Superior , proclaimed emperor by Danubian legions after defeating the  Goths ; accepted as emperor after death of Gallus
"," August 253 – October 253
"," 2 months
"," September/October 253 (aged 40 or 46) Assassinated by his own troops, in favour of Valerian
"
" Valerian IMPERATOR CAESAR PVBLIVS LICINIVS  VALERIANVS  AVGVSTVS 
"," c. 195
"," Governor of  Noricum  and  Raetia , proclaimed emperor by Rhine legions after death of Gallus; accepted as emperor after death of Aemilian
"," October 253 – 260
"," 7 years
"," After 260 (aged at least 65) Captured in  Battle of Edessa  against  Persians , died in captivity
"
" Gallienus IMPERATOR CAESAR PVBLIVS LICINIVS EGNATIVS  GALLIENVS  AVGVSTVS with 
 Saloninus 
 IMPERATOR CAESAR CORNELIVS LICINIVS  SALONINVS  VALERIANVS PIVS FELIX INVICTVS AVGVSTVS 
 
"," 218
"," Son of Valerian, made co-emperor in 253; his son Saloninus (born c. 242) is very briefly co-emperor in c. July 260 before assassination by  Postumus .
"," October 253 – September 268
"," 15 years
"," September 268 (aged 50) Murdered at  Aquileia  by his own commanders.
"
" Claudius Gothicus IMPERATOR CAESAR MARCVS AVRELIVS VALERIVS  CLAVDIVS  AVGVSTVS  
"," May 10, 210,  Sirmium 
"," Victorious general at  Battle of Naissus , seized power after Gallienus's death
"," September 268 – January 270
"," 1 year, 4 months
"," January 270 (aged 60) Natural causes ( plague )
"
" Quintillus IMPERATOR CAESAR MARCVS AVRELIVS CLAVDIVS  QVINTILLVS  AVGVSTVS  
"," c.210,  Sirmium 
"," Brother of Claudius II, seized power after his death
"," January 270 – September(?) 270
"," Unknown
"," 270 (aged around 60) Unclear; possibly suicide or murder
"
" Aurelian IMPERATOR CAESAR LVCIVS DOMITIVS  AVRELIANVS  AVGVSTVS  
"," September 9, 214/215,  Sirmium 
"," Proclaimed emperor by Danubian legions after Claudius II's death, in opposition to Quintillus
"," September(?) 270 – September 275
"," 5 years
"," September 275 (aged 60-61) Assassinated by  Praetorian Guard 
"
" Ulpia Severina  (possibly)  VLPIA SEVERINA  PIA AVGVSTA 
"," Unknown
"," Wife of Aurelian, numismatic evidence gave rise to the speculation that she ruled in her own right during the  interregnum  between Aurelian's death and the election of Tacitus. [10] [11] 
"," September 275
"," Briefly
"," Unknown
"
" Tacitus IMPERATOR CAESAR MARCVS CLAVDIVS  TACITVS  AVGVSTVS 
"," c. 200,  Interamna Nahars ,  Italia 
"," Elected by the  Senate  to replace Aurelian, after a short  interregnum 
"," September 25, 275 – June 276
"," 9 months
"," June 276 (aged 76) Natural causes (possibly assassinated)
"
" Florianus IMPERATOR CAESAR MARCVS ANNIVS  FLORIANVS  AVGVSTVS  
"," ?
"," Brother of Tacitus, elected by the army in the west to replace him
"," June 276 – September? 276
"," 3 months
"," September? 276 (aged ?) Assassinated by his own troops, in favour of Probus
"
" Probus IMPERATOR CAESAR MARCVS AVRELIVS  PROBVS  AVGVSTVS 
"," 232,  Sirmium 
"," Governor of the eastern provinces, proclaimed emperor by Danubian legions in opposition to  Florian 
"," September? 276 – September/ October 282
"," 6 years
"," September/ October 282 (aged 50) Assassinated by his own troops, in favour of  Carus 
"
" Carus IMPERATOR CAESAR MARCVS AVRELIVS  CARVS  AVGVSTVS  
"," c. 230,  Narbo ,  Gallia Narbonensis 
"," Praetorian Prefect to Probus; seized power either before or after Probus was murdered; made his son Carinus co-emperor in early 283
"," September/ October 282 – late July/ early August 283
"," 10–11 months
"," Late July/August 283 (aged 61) Probably natural causes (Possibly killed by lightning)
"
" Carinus CAESAR MARCVS AVRELIVS  CARINVS  AVGVSTVS  
"," ?
"," Son of Carus, ruled shortly with him (from early 283) as co-emperor and then in his own right with his brother Numerian
"," Late July/early August 283 – 285
"," 2 years
"," 285 (aged ?) Probably died in battle against Diocletian
"
" Numerian IMPERATOR CAESAR MARCVS AVRELIVS NVMERIVS  NVMERIANVS  AVGVSTVS  
"," ?
"," Son of Carus, succeeded him jointly with his brother Carinus
"," Late July/early August 283 – 284?
"," 1 year
"," 284 (aged ?) Unclear; possibly assassinated
"
" Diocletian IMPERATOR CAESAR CAIVS AVRELIVS VALERIVS  DIOCLETIANVS  AVGVSTVS 
 
 (EAST   and  WEST) 
 then, after 286 
 (EAST) 
 
"," c. December 22, 244,  Salona 
"," Proclaimed emperor by army after death of  Numerian , and in opposition to  Carinus ; adopted  Maximian  as senior co-emperor in 286
"," November 20, 284 – May 1, 305
"," 20 years, 5 months and 11 days
"," 3 December 311 (aged 67) Abdicated; died of natural causes in  Aspalatos 
"
" Maximian IMPERATOR CAESAR MARCVS AVRELIVS VALERIVS  MAXIMIANVS  HERCVLIVS AVGVSTVS 
 
 (WEST) 
 
"," c. 250, near  Sirmium ,  Pannonia 
"," Adopted as senior co-emperor ('Augustus') in the west by Diocletian in 286
"," April 1, 286 – May 1, 305
"," 19 years and 1 month
"," 310 (aged 60) Abdicated with Diocletian; twice tried to regain throne with, and then from Maxentius; captured by Constantine I and committed suicide at his behest
"
" Galerius IMPERATOR CAESAR GAIVS  GALERIVS  VALERIVS MAXIMIANVS AVGVSTVS 
 
 (EAST) 
 
"," c. 250,  Felix Romuliana ,  Moesia Superior 
"," Adopted as junior co-emperor ('Caesar') and heir by Diocletian in 293. Also son-in-law of Diocletian.
"," May 1, 305 – May 311
"," 6 years
"," 311 (aged 61) Natural causes
"
" Constantius Chlorus IMPERATOR CAESAR MARCVS FLAVIVS VALERIVS  CONSTANTIVS  HERCVLIVS AVGVSTVS 
 
 (WEST) 
 
"," March 31, c. 250,  Dardania ,  Moesia 
"," Adopted as junior co-emperor ('Caesar') and heir by Maximian in 293
"," May 1, 305 – July 25, 306
"," 1 year, 2 months and 24 days
"," 306 (aged 56) Natural causes
"
" Valerius Severus IMPERATOR CAESAR FLAVIVS  VALERIVS SEVERVS  AVGVSTVS 
 
 (WEST) 
 
"," ?
"," Adopted as junior co-emperor ('Caesar') and heir by Constantius Chlorus in 305; succeeded as Augustus in 306; opposed by Maxentius and Constantine I
"," Summer 306 – March/ April 307
"," 1 year
"," September 16, 307 (aged ?) Captured by Maxentius and forced to commit suicide (or murdered)
"
" Constantine the Great (Constantine I) IMPERATOR CAESAR FLAVIVS VALERIVS AVRELIVS  CONSTANTINVS  AVGVSTVS  
 
 (WEST) 
 then, after 324 
 (EAST   and  WEST) 
 
"," February 27, c. 272,  Naissus ,  Moesia Superior 
"," Son of Constantius I Chlorus, proclaimed emperor by his father's troops; accepted as Caesar (west) by Galerius in 306; promoted to Augustus (west) in 307 by Maximian after death of Severus II; refused relegation to Caesar in 309
"," July 25, 306 – May 22, 337
"," 30 years, 9 months and 27 days
"," May 22, 337 (aged 65) Natural causes
"
" Maxentius IMPERATOR CAESAR MARCVS AVRELIVS VALERIVS  MAXENTIVS  AVGVSTVS  
 
 (WEST) 
 
"," c. 276
"," Son of Maximian, seized power in 306 after death of Constantius I Chlorus, in opposition to Severus and Constantine I; made Caesar (west) by Maximian in 307 after the death of Severus
"," October 28, 306 – October 28, 312
"," 6 years
"," October 28, 312 (aged 36) Died at the  Battle of the Milvian Bridge , against Constantine I
"
" Licinius IMPERATOR CAESAR CAIVS VALERIVS LICINIANVS  LICINIVS  AVGVSTVS 
 
 (EAST) w ith 
 Valerius Valens 
 IMPERATOR CAESAR AVRELIVS  VALERIVS VALENS  AVGVSTVS 
 and 
 Martinian 
 IMPERATOR CAESAR SEXTVS MARCIVS  MARTININANVS  AVGVSTVS 
 
"," c. 263,  Felix Romuliana ,  Moesia Superior 
"," Son-in-law of Constantius Chlorus, appointed Augustus in the west by Galerius in 308, in opposition to Maxentius; became Augustus in the east in 311 after the death of Galerius (shared with Maximinus II); defeated Maximinus II in civil war to become sole eastern Augustus in 313; appointed Valerius Valens in 317, and Martinian in 324 as western Augustus, in opposition to Constantine, both being executed within weeks.
"," November 11, 308 – September 18, 324
"," 15 years, 10 months and 7 days
"," 325 (aged 61/62) Defeated in civil war against Constantine I in 324 and captured; executed on the orders of Constantine the next year
"
" Maximinus II IMPERATOR CAESAR CAIVS CALERIVS VALERIVS  MAXIMINVS  AVGVSTVS 
 
 (EAST) 
 
"," November 20, c. 270,  Dacia Aureliana 
"," Nephew of Galerius, adopted as Caesar and his heir in 305; succeeded as Augustus (shared with Licinius I) in 311
"," May 1, 311 – July/August 313
"," 2 years
"," July/August 313 (aged 42) Defeated in civil war against Licinius; probably committed suicide thereafter
"
" Constantine II IMPERATOR CAESAR FLAVIVS CLAVDIVS  CONSTANTINVS  AVGVSTVS 
 
 (WEST) 
 
"," 316,  Arelate ,  Gallia Narbonensis 
"," Son of Constantine I; appointed Caesar in 317, succeeded as joint Augustus with his brothers Constantius II and Constans I
"," May 22, 337 – 340
"," 3 years
"," 340 (aged 24) Died in battle against Constans I
"
" Constantius II IMPERATOR CAESAR FLAVIVS IVLIVS  CONSTANTIVS  AVGVSTVS 
 
 (EAST) 
 then, after 353 
 (EAST  and  WEST) 
 
"," August 7, 317,  Sirmium ,  Pannonia 
"," Son of Constantine I; succeeded as joint Augustus with his brothers Constantine II and Constans I; sole emperor from 350
"," May 22, 337 – November 3, 361
"," 24 years, 5 months and 12 days
"," 361 (aged 44) Natural causes
"
" Constans I IMPERATOR CAESAR FLAVIVS IVLIVS  CONSTANS  AVGVSTVS 
 
 (MIDDLE) 
 then, after 340 
 (WEST) 
 
"," c. 323
"," Son of Constantine I; succeeded as joint Augustus with his brothers Constantine II and Constantius II
"," May 22, 337 – 350
"," 13 years
"," 350 (aged 27) Assassinated on the orders of the usurper  Magnentius 
"
" Vetranio IMPERATOR CAESAR FLAVIVS  VETRANIO  AVGVSTVS 
 
 (WEST) 
 
"," ?,  Moesia 
"," General of Constans, proclaimed Caesar against Magnentius and temporarily accepted as Augustus of the west by Constantius II.
"," March 1, 350 – December 25, 350
"," 9 months and 24 days
"," c. 356 (aged ?) As a private citizen, after abdication.
"
" Julian IMPERATOR CAESAR FLAVIVS CLAVDIVS  IVLIANVS  AVGVSTVS 
 
 (WEST) 
 then, after 361 
 (EAST  and  WEST) 
 
"," 331/332,  Constantinople ,  Thracia 
"," Cousin of Constantius II; made Caesar of the west in 355; proclaimed Augustus by his troops in 360; sole emperor after the death of Constantius
"," February 360 – June 26, 363
"," 3 years
"," June 26, 363 (aged 31/32) Mortally wounded in battle
"
" Jovian IMPERATOR CAESAR FLAVIVS  IOVIANVS  AVGVSTVS 
 
 (EAST  and  WEST) 
 
"," 331,  Singidunum ,  Moesia 
"," General of Julian's army; proclaimed emperor by the troops on Julian's death
"," June 26, 363 – February 17, 364
"," 7 months and 22 days
"," February 17, 364 (aged 33) Natural causes (suffocated on fumes)
"
" Valentinian I IMPERATOR CAESAR FLAVIVS  VALENTINIANVS  AVGVSTVS 
 
 (EAST  and  WEST) 
 then
 (WEST) 
 
"," 321,  Cibalae ,  Pannonia 
"," Elected to replace  Jovian  by the army
"," February 26, 364 – November 17, 375
"," 11 years, 8 months and 22 days
"," November 17, 375 (aged 54) Natural causes
"
" Valens IMPERATOR CAESAR FLAVIVS IVLIVS  VALENS  AVGVSTVS 
 
 (EAST) 
 
"," 328,  Cibalae ,  Pannonia 
"," Brother of  Valentinian I , appointed co-augustus (for the east) by him
"," March 28, 364 – August 9, 378
"," 14 years, 4 months and 12 days
"," August 9, 378 (aged 50) Killed in  Battle of Adrianople  against the  Goths 
"
" Gratian IMPERATOR CAESAR FLAVIVS  GRATIANVS  AVGVSTVS 
 
 (WEST) 
 
"," April 18/May 23, 359,  Sirmium ,  Pannonia 
"," Son of  Valentinian I , appointed junior Augustus by him in 367, became senior Augustus (for the west) after Valentinian's death.
"," August 4, 367 – August 25, 383
"," 16 years and 21 days
"," August 25, 383 (aged 24) Murdered by rebellious army faction
"
" Valentinian II IMPERATOR CAESAR FLAVIVS  VALENTINIANVS  AVGVSTVS 
 
 (WEST) 
 
"," 371,  Milan ,  Italia 
"," Son of  Valentinian I , proclaimed emperor by Pannonian army after Valentinian's death; accepted as co-Augustus for the west by  Gratian 
"," November 17, 375 – May 15, 392
"," 16 years, 5 months and 28 days
"," May 15, 392 (aged 21) Unclear; possibly murdered or committed suicide
"
" Magnus Maximus 
 IMPERATOR CAESAR FLAVIVS  MAGNVS MAXIMVS  AVGVSTVS 
 (WEST) 
 with 
 Victor 
 IMPERATOR CAESAR FLAVIVS  VICTOR  AVGVSTVS 
 
"," c. 335,  Hispania 
"," Usurper in the West; legitimized along with his son Victor by  Theodosius I  as emperors of  Britannia  and  Gaul .
"," 383/384 – August 28, 388
"," 4/5 years
"," August 28, 388 (aged 53) Executed by  Theodosius I  in  Aquileia  after the  Battle of the Save ; Victor killed by  Arbogast 
"
" Eugenius 
 IMPERATOR CAESAR FLAVIVS  EVGENIVS  AVGVSTVS 
 (WEST) 
 
"," ?
"," Usurper in the West; elevated to emperor by  Arbogast .
"," August 22 392 – September 6, 394
"," 2 years, 15 days
"," September 6, 394 Executed as a criminal by  Theodosius I  near the  Frigidus river 
"
" Theodosius I IMPERATOR CAESAR FLAVIVS  THEODOSIVS  AVGVSTVS 
"," January 11, 347,  Cauca  or  Italica ,  Hispania 
"," Son-in-law of Valentinian I, appointed as Augustus for the east by  Gratian  after the death of  Valens ; became sole senior Augustus after death of  Valentinian II  (Eastern Emperor since 379)
"," May 15, 392 – January 17, 395
"," 2 years, 8 months and 2 days
"," January 17, 395 (aged 48) Natural causes
"
" Honorius IMPERATOR CAESAR FLAVIVS  HONORIVS  AVGVSTVS 
"," September 9, 384
"," Son of  Theodosius I ; appointed as junior Augustus for the west by Theodosius on January 23, 393 (after the death of  Valentinian II ); became senior Augustus for the west after his father's death
"," January 17, 395 – August 15, 423
"," 28 years, 6 months and 29 days
"," August 15, 423 (aged 38) Natural causes
"
